Release number,91
Release date,2013-09-04
Classes,6
Subclasses,69
SubSubclasses,287
Synonyms,19877
Enzymes by status:
APPROVED (active),5203
APPROVED (inactive),863
PRELIMINARY (active),71
PRELIMINARY (inactive),129
SUGGESTED (active),3
Xrefs - total:
DIAGRAM,1711
GO,3988
PROSITE,1442
Swiss-Prot,221109
Xrefs - unique:
DIAGRAM,552
GO,3962
PROSITE,466
Swiss-Prot,210041
Links - total:
CAS,3359
ERGO,116
MEROPS,344
NIST 74,351
UM-BBD,217
WIT,688
Links - unique:
CAS,3193
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,74
WIT,635
