Release number,90
Release date,2013-08-06
Classes,6
Subclasses,69
SubSubclasses,287
Synonyms,19844
Enzymes by status:
APPROVED (active),5191
APPROVED (inactive),863
PRELIMINARY (active),70
PRELIMINARY (inactive),129
SUGGESTED (active),18
Xrefs - total:
DIAGRAM,1711
GO,3988
PROSITE,1442
Swiss-Prot,221105
Xrefs - unique:
DIAGRAM,552
GO,3962
PROSITE,466
Swiss-Prot,210037
Links - total:
CAS,3360
ERGO,110
MEROPS,344
NIST 74,351
UM-BBD,217
WIT,694
Links - unique:
CAS,3193
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,74
WIT,641
