Release number,79
Release date,2012-08-09
Classes,6
Subclasses,67
SubSubclasses,285
Synonyms,19023
Enzymes by status:
APPROVED (active),4863
APPROVED (inactive),820
PRELIMINARY (active),72
PRELIMINARY (inactive),99
SUGGESTED (active),2
Xrefs - total:
DIAGRAM,1548
GO,4012
PROSITE,1442
Swiss-Prot,216896
Xrefs - unique:
DIAGRAM,508
GO,3985
PROSITE,466
Swiss-Prot,206770
Links - total:
CAS,3388
ERGO,66
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,742
Links - unique:
CAS,3219
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,78
WIT,681
