Release number,93
Release date,2013-11-14
Classes,6
Subclasses,69
SubSubclasses,287
Synonyms,20007
Enzymes by status:
APPROVED (active),5246
APPROVED (inactive),868
PRELIMINARY (active),72
PRELIMINARY (inactive),130
SUGGESTED (active),1
Xrefs - total:
DIAGRAM,1715
GO,3983
PROSITE,1442
Swiss-Prot,224015
Xrefs - unique:
DIAGRAM,555
GO,3958
PROSITE,466
Swiss-Prot,212484
Links - total:
CAS,3354
ERGO,128
MEROPS,344
NIST 74,351
UM-BBD,217
WIT,674
Links - unique:
CAS,3190
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,71
WIT,624
