Release number,75
Release date,2012-01-19
Classes,6
Subclasses,67
SubSubclasses,285
Synonyms,18771
Enzymes by status:
APPROVED (active),4731
APPROVED (inactive),805
PRELIMINARY (active),71
PRELIMINARY (inactive),79
SUGGESTED (active),1
Xrefs - total:
DIAGRAM,1506
GO,3909
PROSITE,1444
Swiss-Prot,212356
Xrefs - unique:
DIAGRAM,496
GO,3894
PROSITE,466
Swiss-Prot,202786
Links - total:
CAS,3395
ERGO,50
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,759
Links - unique:
CAS,3226
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,79
WIT,697
