Release number,87
Release date,2013-04-22
Classes,6
Subclasses,69
SubSubclasses,287
Synonyms,19535
Enzymes by status:
APPROVED (active),5076
APPROVED (inactive),844
PRELIMINARY (active),80
PRELIMINARY (inactive),114
SUGGESTED (active),1
Xrefs - total:
DIAGRAM,1708
GO,3997
PROSITE,1442
Swiss-Prot,220197
Xrefs - unique:
DIAGRAM,550
GO,3970
PROSITE,466
Swiss-Prot,209205
Links - total:
CAS,3368
ERGO,106
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,700
Links - unique:
CAS,3201
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,74
WIT,646
