Release number,80
Release date,2012-09-07
Classes,6
Subclasses,67
SubSubclasses,285
Synonyms,19030
Enzymes by status:
APPROVED (active),4866
APPROVED (inactive),820
PRELIMINARY (active),80
PRELIMINARY (inactive),101
SUGGESTED (active),99
Xrefs - total:
DIAGRAM,1548
GO,4017
PROSITE,1442
Swiss-Prot,218027
Xrefs - unique:
DIAGRAM,509
GO,3990
PROSITE,466
Swiss-Prot,207555
Links - total:
CAS,3388
ERGO,68
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,740
Links - unique:
CAS,3219
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,78
WIT,679
