Release number,89
Release date,2013-06-06
Classes,6
Subclasses,69
SubSubclasses,287
Synonyms,19677
Enzymes by status:
APPROVED (active),5132
APPROVED (inactive),857
PRELIMINARY (active),79
PRELIMINARY (inactive),119
SUGGESTED (active),3
Xrefs - total:
DIAGRAM,1709
GO,3996
PROSITE,1441
Swiss-Prot,221394
Xrefs - unique:
DIAGRAM,551
GO,3969
PROSITE,466
Swiss-Prot,210337
Links - total:
CAS,3364
ERGO,109
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,696
Links - unique:
CAS,3197
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,74
WIT,642
