Release number,76
Release date,2012-03-07
Classes,6
Subclasses,67
SubSubclasses,285
Synonyms,18775
Enzymes by status:
APPROVED (active),4731
APPROVED (inactive),805
PRELIMINARY (active),81
PRELIMINARY (inactive),80
SUGGESTED (active),61
Xrefs - total:
DIAGRAM,1509
GO,4006
PROSITE,1444
Swiss-Prot,215213
Xrefs - unique:
DIAGRAM,499
GO,3979
PROSITE,466
Swiss-Prot,205242
Links - total:
CAS,3395
ERGO,55
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,754
Links - unique:
CAS,3226
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,79
WIT,693
