Release number,83
Release date,2012-12-05
Classes,6
Subclasses,68
SubSubclasses,286
Synonyms,19414
Enzymes by status:
APPROVED (active),5022
APPROVED (inactive),836
PRELIMINARY (active),73
PRELIMINARY (inactive),111
PROPOSED (active),1
SUGGESTED (active),1
Xrefs - total:
DIAGRAM,1690
GO,4002
PROSITE,1442
Swiss-Prot,218957
Xrefs - unique:
DIAGRAM,544
GO,3975
PROSITE,466
Swiss-Prot,208398
Links - total:
CAS,3375
ERGO,93
MEROPS,344
NIST 74,352
UM-BBD,218
WIT,713
Links - unique:
CAS,3207
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,74
WIT,658
