Release number,71
Release date,2011-08-10
Classes,6
Subclasses,67
SubSubclasses,277
Synonyms,18316
Enzymes by status:
APPROVED (active),4527
APPROVED (inactive),785
PRELIMINARY (active),69
PRELIMINARY (inactive),65
PROPOSED (active),66
SUGGESTED (active),3
Xrefs - total:
DIAGRAM,1331
GO,3853
PROSITE,1444
Swiss-Prot,207640
Xrefs - unique:
DIAGRAM,451
GO,3849
PROSITE,466
Swiss-Prot,197917
Links - total:
CAS,3407
ERGO,31
MEROPS,345
NIST 74,354
UM-BBD,218
WIT,779
Links - unique:
CAS,3234
ERGO,1
MEROPS,338
NIST 74,1
UM-BBD,83
WIT,716
