Release number,104
Release date,2014-12-12
Classes,6
Subclasses,69
SubSubclasses,292
Synonyms,20528
Enzymes by status:
APPROVED (active),5477
APPROVED (inactive),887
PRELIMINARY (active),66
PRELIMINARY (inactive),156
SUGGESTED (active),35
Xrefs - total:
DIAGRAM,1755
GO,3986
PROSITE,1438
Swiss-Prot,231232
Xrefs - unique:
DIAGRAM,580
GO,3957
PROSITE,465
Swiss-Prot,218932
Links - total:
CAS,3347
ERGO,145
MEROPS,344
NIST 74,350
UM-BBD,217
WIT,655
Links - unique:
CAS,3187
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,68
WIT,609
